date	unique_page_creators
2020-07-03	62
2020-07-04	43
2020-07-05	48
2020-07-06	56
2020-07-07	63
2020-07-08	59
2020-07-09	64
2020-07-10	54
2020-07-11	57
2020-07-12	61
2020-07-13	65
2020-07-14	72
2020-07-15	55
2020-07-16	65
2020-07-17	71
2020-07-18	97
2020-07-19	60
2020-07-20	67
2020-07-21	67
2020-07-22	49
2020-07-23	55
2020-07-24	47
2020-07-25	48
2020-07-26	52
2020-07-27	59
2020-07-28	60
2020-07-29	62
2020-07-30	71
2020-07-31	48
2020-08-01	45
2020-08-02	49
2020-08-03	64
2020-08-04	65
2020-08-05	59
2020-08-06	59
2020-08-07	57
2020-08-08	46
2020-08-09	56
2020-08-10	55
2020-08-11	47
2020-08-12	55
2020-08-13	29
2020-08-14	50
2020-08-15	43
2020-08-16	49
2020-08-17	44
2020-08-18	56
2020-08-19	59
2020-08-20	51
2020-08-21	66
2020-08-22	53
2020-08-23	52
2020-08-24	53
2020-08-25	53
2020-08-26	62
2020-08-27	52
2020-08-28	50
2020-08-29	46
2020-08-30	63
2020-08-31	68
2020-09-01	61
2020-09-02	60
2020-09-03	55
2020-09-04	49
2020-09-05	55
2020-09-06	56
2020-09-07	53
2020-09-08	63
2020-09-09	48
2020-09-10	45
2020-09-11	63
2020-09-12	50
2020-09-13	47
2020-09-14	61
2020-09-15	57
2020-09-16	60
2020-09-17	55
2020-09-18	51
2020-09-19	51
2020-09-20	55
2020-09-21	51
2020-09-22	56
2020-09-23	72
2020-09-24	67
2020-09-25	65
2020-09-26	68
2020-09-27	56
2020-09-28	65
2020-09-29	66
2020-09-30	68
2020-10-01	57
2020-10-02	49
2020-10-03	52
2020-10-04	57
2020-10-05	71
2020-10-06	70
2020-10-07	66
2020-10-08	50
2020-10-09	61
2020-10-10	47
2020-10-11	57
2020-10-12	64
2020-10-13	61
2020-10-14	74
2020-10-15	57
2020-10-16	64
2020-10-17	59
2020-10-18	67
2020-10-19	77
2020-10-20	66
2020-10-21	60
2020-10-22	61
2020-10-23	70
2020-10-24	58
2020-10-25	71
2020-10-26	74
2020-10-27	82
2020-10-28	71
2020-10-29	69
2020-10-30	70
2020-10-31	54
2020-11-01	81
2020-11-02	101
2020-11-03	64
2020-11-04	84
2020-11-05	65
2020-11-06	62
2020-11-07	62
2020-11-08	68
2020-11-09	73
2020-11-10	77
2020-11-11	73
2020-11-12	80
2020-11-13	84
2020-11-14	74
2020-11-15	76
2020-11-16	77
2020-11-17	77
2020-11-18	76
2020-11-19	82
2020-11-20	74
2020-11-21	64
2020-11-22	83
2020-11-23	89
2020-11-24	81
2020-11-25	92
2020-11-26	90
2020-11-27	98
2020-11-28	99
2020-11-29	102
2020-11-30	91
2020-12-01	105
2020-12-02	96
2020-12-03	84
2020-12-04	85
2020-12-05	76
2020-12-06	67
2020-12-07	92
2020-12-08	83
2020-12-09	81
2020-12-10	85
2020-12-11	82
2020-12-12	95
2020-12-13	81
2020-12-14	75
2020-12-15	76
2020-12-16	76
2020-12-17	79
2020-12-18	76
2020-12-19	94
2020-12-20	76
2020-12-21	85
2020-12-22	64
2020-12-23	79
2020-12-24	49
2020-12-25	50
2020-12-26	56
2020-12-27	67
2020-12-28	66
2020-12-29	65
2020-12-30	79
2020-12-31	67
